,ID,Zip.1,LifeOrientation.10,CFC.Future.5,CFC.Immediate.5,b5_conscientious,b5_negemotion,b5_agreeable,b5_extroversion,SoPA.9,SoNA.9,Age.1,Education.1,Wealth.6,Dospert,ContactsMask.6,TimeRiskyFriend.3,Vaccine.6,WillingnessNeigh.6,WillingnessCountry.6,Fundamental1.2.6,Fundamental_af,ConcernCovid.6,Finished.10,PoliticalOrientation.1,Optimistic1.2,Optimistic2.2,Optimistic3.2,Optimistic4.2,Optimistic5.2,Optimistic1.6,Optimistic2.6,Optimistic3.6,Optimistic4.6,Optimistic5.6,Optimistic6.6,Optimistic7.6,Optimistic8.6,Sex.1,Optimistic9.6,PositiveRightNow2.9,PositiveWorld1.9,PositiveWorld2.9,PositiveWorld3.9,PositiveWorld4.9,PositiveWorld5.9,PositiveWorld6.9,PositiveWorld8.9,PositiveWorld9.9,PositiveRightNow1.9,PositiveLife1.9,PositiveLife2.9,PositiveLife3.9,PositiveLife4.9,PositiveLife5.9,PositiveLife6.9,LifeExpectancy.9,Age.1
30,30,77802.0,,,,,,,,,,57.0,6.0,,,,,,,,,,,,2.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,57.0
31,31,24450.0,11.5,32.0,27.0,3.25,2.0,4.5,3.25,6.166666667,1.285714286,62.0,5.0,1.666666667,,1.0,,1.0,4.0,4.0,1.0,12.0,1.0,1.0,6.0,,,,,,55.0,61.0,57.0,64.0,77.0,100.0,100.0,100.0,2.0,100.0,50.0,50.0,70.0,80.0,90.0,100.0,100.0,100.0,100.0,69.0,81.0,93.0,93.0,53.0,0.0,0.0,85.0,62.0
32,32,97346.0,,34.0,21.0,3.5,3.75,5.0,1.75,,,56.0,5.0,3.333333333,6.0,5.0,2.0,7.0,4.0,3.0,7.0,9.0,5.0,,2.0,4.0,3.0,3.0,2.0,2.0,8.0,14.0,29.0,52.0,72.0,84.0,89.0,83.0,2.0,50.0,,,,,,,,,,,,,,,,,,56.0
33,33,88201.0,12,40.0,26.0,2.0,2.75,4.0,4.0,5.166666667,2.285714286,64.0,4.0,7.666666667,17.0,4.0,3.0,7.0,5.0,4.0,6.0,6.0,2.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,52.0,51.0,52.0,53.0,53.0,54.0,55.0,56.0,2.0,56.0,26.0,43.0,39.0,32.0,27.0,18.0,16.0,12.0,0.0,86.0,87.0,87.0,34.0,5.0,0.0,0.0,80.0,64.0
34,34,87110.0,10,43.0,18.0,,,,,,,78.0,3.0,,7.0,,1.0,,,,,,,1.0,6.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,78.0
35,35,13021.0,,,,,,,,,,48.0,6.0,,9.0,,1.0,,,,,,,,3.5,4.0,4.0,6.0,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,48.0
36,36,34237.0,10.5,36.0,29.0,4.25,1.75,3.75,1.75,4.333333333,3.0,65.0,3.0,3.333333333,14.0,5.0,2.0,2.0,4.0,3.0,5.0,10.0,1.0,1.0,4.0,,,,,,62.0,62.0,62.0,62.0,53.0,34.0,24.0,59.0,2.0,60.0,37.0,46.0,57.0,58.0,58.0,58.0,59.0,60.0,60.0,51.0,57.0,59.0,48.0,13.0,0.0,0.0,75.0,65.0
37,37,32771.0,14,33.0,31.0,4.0,1.75,3.0,3.0,5.333333333,2.285714286,66.0,5.0,,9.0,5.0,1.0,6.0,1.0,1.0,5.0,7.0,1.0,1.0,2.0,,,,,,99.0,99.0,99.0,99.0,99.0,100.0,100.0,50.0,2.0,50.0,67.0,80.0,90.0,89.0,90.0,90.0,91.0,91.0,50.0,81.0,89.0,91.0,90.0,88.0,50.0,50.0,93.0,66.0
38,38,10547.0,,19.0,42.0,2.25,1.0,4.25,2.5,,,74.0,5.0,,7.0,5.0,1.0,7.0,1.0,1.0,7.0,7.0,3.0,,2.0,,,,,,81.0,81.0,88.0,89.0,89.0,89.0,89.0,56.0,2.0,13.0,,,,,,,,,,,,,,,,,,74.0
39,39,62521.0,6,37.0,28.0,4.0,4.5,4.0,1.0,4.666666667,1.857142857,39.0,5.0,3.666666667,6.0,5.0,1.0,5.0,1.0,1.0,7.0,7.0,5.0,1.0,2.5,7.0,7.0,7.0,6.0,5.0,50.0,50.0,40.0,51.0,49.0,38.0,33.0,29.0,2.0,19.0,35.0,30.0,49.0,47.0,44.0,49.0,45.0,44.0,30.0,20.0,9.0,20.0,20.0,20.0,5.0,0.0,75.0,39.0
40,40,32504.0,14.5,,,5.0,1.0,5.0,4.75,6.0,1.571428571,74.0,3.0,4.666666667,7.0,5.0,1.0,7.0,5.0,4.0,7.0,10.0,5.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,50.0,50.0,65.0,80.0,85.0,90.0,90.0,50.0,2.0,30.0,75.0,75.0,80.0,80.0,80.0,80.0,80.0,80.0,50.0,85.0,85.0,80.0,10.0,0.0,0.0,0.0,80.0,74.0
41,41,85122.0,8.5,19.0,35.0,2.0,2.25,3.5,1.0,3.666666667,2.571428571,50.0,5.0,3.666666667,,4.0,,3.0,1.0,1.0,6.0,5.0,3.0,1.0,3.0,2.0,2.0,7.0,4.0,4.0,50.0,50.0,50.0,50.0,50.0,43.0,35.0,24.0,2.0,4.0,24.0,20.0,15.0,10.0,6.0,3.0,0.0,0.0,0.0,75.0,70.0,70.0,70.0,66.0,0.0,0.0,86.0,50.0
42,42,85254.0,12,34.0,33.0,3.75,2.75,4.0,2.75,3.166666667,1.714285714,61.0,3.0,3.0,18.0,4.0,2.0,1.0,1.0,1.0,6.0,11.0,6.0,1.0,4.0,,,,,,52.0,51.0,46.0,52.0,53.0,50.0,50.0,2.0,1.0,1.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,68.0,51.0,44.0,10.0,0.0,91.0,61.0
43,43,80301.0,,,,3.75,2.25,4.0,3.75,,,40.0,5.0,2.666666667,,5.0,,7.0,3.0,4.0,3.0,12.0,2.0,,1.0,7.0,7.0,7.0,2.0,1.0,44.0,51.0,58.0,69.0,69.0,71.0,69.0,18.0,1.0,18.0,,,,,,,,,,,,,,,,,,40.0
44,44,92821.0,10.5,,,4.0,1.5,4.5,2.0,5.166666667,1.285714286,59.0,4.0,5.666666667,6.0,5.0,1.0,7.0,2.0,2.0,7.0,9.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,30.0,31.0,35.0,46.0,63.0,84.0,85.0,68.0,1.0,68.0,51.0,51.0,56.0,71.0,71.0,68.0,65.0,57.0,36.0,81.0,81.0,81.0,75.0,41.0,16.0,3.0,85.0,59.0
45,45,73568.0,8.5,47.0,18.0,3.5,4.0,5.0,2.5,5.166666667,1.857142857,69.0,2.0,3.0,7.0,5.0,1.0,7.0,1.0,4.0,7.0,8.0,4.0,1.0,2.5,4.0,4.0,3.0,3.0,3.0,30.0,40.0,50.0,70.0,75.0,75.0,70.0,35.0,2.0,10.0,35.0,50.0,50.0,45.0,35.0,25.0,20.0,10.0,0.0,45.0,45.0,70.0,70.0,50.0,0.0,0.0,85.0,69.0
46,46,77077.0,5,30.0,35.0,,,,,,,39.0,3.0,,15.0,,1.0,,,,,,,1.0,5.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,39.0
47,47,76107.0,6,42.0,21.0,1.5,4.5,4.0,1.0,4.333333333,1.285714286,30.0,5.0,3.0,16.0,3.0,4.0,6.0,2.0,2.0,1.0,3.0,1.0,1.0,6.0,3.0,3.0,3.0,3.0,3.0,53.0,54.0,55.0,55.0,51.0,46.0,39.0,28.0,1.0,35.0,52.0,51.0,46.0,43.0,40.0,35.0,32.0,35.0,39.0,75.0,57.0,67.0,73.0,74.0,69.0,51.0,91.0,30.0
48,48,28557.0,,,,,,,,,,44.0,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,44.0
49,49,20770.0,6,48.0,13.0,4.25,2.0,4.5,3.0,5.666666667,1.714285714,38.0,5.0,5.333333333,9.0,5.0,1.0,7.0,1.0,1.0,7.0,6.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,20.0,20.0,20.0,45.0,52.0,65.0,65.0,50.0,1.0,50.0,40.0,50.0,55.0,53.0,47.0,42.0,36.0,29.0,13.0,40.0,50.0,53.0,60.0,30.0,20.0,0.0,75.0,38.0
50,50,64112.0,,,,,,,,,,38.0,6.0,,,,,,,,,,,,1.0,4.0,5.0,5.0,4.0,5.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,38.0
